v0.51 and above:
   Extract to a ./gfx/tracks/ dir

Old versions:
   Extract to a ./gfx/ dir

------------------------------------------------------------------
Track                  Author          UID
ROC by Crazy Driver    METEOR__wCr...  aN_9NG78pFr7boe17FQVNlZI2oh
Race In Hell           guifight        m_A_f6UaT2rvMEwxuH__z3oPnI2
Rally Special          RacerSpooKy     eAHWJRA2SSpdjZVOKNy8ELDUwRe
ReUse                  ceo_tw          oePgmtY8gS0s95o0ubAWjRwZt0i
Ride on shooting star  MOD Derek       hox5tLVMrJGK6LvnEqzy5tt6mDg
Rising the Bar         MegaRacer       a91WEGmVW3DL1GiN1HENq85cV17
S'esch net schlemm !   -Axis-          zWmqeEJgzCKAFB359M73V_VYO8c
Savana                 artofnoise      N6ruYpInr63oMjANgAV3HpNvjnh
Scrambled Eggs         scottmc         3yHOxazFhkmeOs3AfRbbQyiUztc
ScreechLighting        Raxor           PJ7gMQZgpvSmnnLCO_TbTm0NYG0
Selleton!              harvey          AuoTD8mFfJe7pIqgo__ZLYkCAm
Sempri Fi              speedy14        a4E1rBBLeeRL8gQCId1IYXyfLQ5
Shift Expectations     SilverManCZ     Hzyzw836z9Y19KldWTAz_309tc7
Sidewinder-v2          DerFeineHerr    ZOdA4AJZgBjFk5WZMpfYa3mxgC
SmOoTh-Speed           DarcKz          ZQAJEXTrTQ0ylRqNFPAmjpv60J3
Sphere of death        TLS87tratata    vKT_dEsoJ3jz5c9hwtpCUKrXa7k
SupaCup-001            Supamanu        MN1WAuunZC2y2y6TABOYNcoZnz6
SupaCup-002            Supamanu        5m9BGm0Ij59G5AKEbGzTtB2o6m7
Super FroGs            D@rK@nGe        U_wZuu5ZBDZv7yauk3kPFxHQfJ3
SuperBall              Raxor           DKPQouNh4uy5RWgGDjBEKWdQCDc
Sweet & Sexy           DEnGel          hZYp_ny4lj9n7ySyYA1bVYajE_4
TANGOSUMO              Nitryx_Doc_Kuku RTvlR2yBNXHAK19ywHA5t8QwHg2
TMN Compo 2°           Sabaku          1Dw0AAc7m9oL8srow8Y19weUuy7
TMN Ãîíî÷íûé Ñòàäèîí   Skotinka        ZiwXztaWTo0M7lx1aOTDfnrSuNb
Technical Exodus       Maupi           xKAIqvmIy98Rd41006fzGecHYZk
Technical Speed        XXL-Manfred     Ya4ozcjpWhtF_AGaute4AIzsFB1
Tentar Bensar          DEnGel          UMzB_rkWsWM_ITQhS4owRZDEMU7
The White Rabbit       wurnur          ATC4FKz7MP5BGxcMwGobfzcy_ki
The Launch >>>         GanjaRider      fi1nCsveHks0aQ41Y38G4Yuy8lk
Totally Insane         Andree          x8lp7MECa4WaAvRK8PsbveYv2I3
Tranquila              irondragons     uTNLt6J56hSXjTQ0NcYf2VWaPj4
Trip3l-Trial-v2        DerFeineHerr    mUQGzfF5QhF_2uivHOTs8kLiRk9
Tube.scr               nemini          YEWNNVqrDHuEyT9RkNq_zaz4LWe
Tuning TEC             Trojaner        sV6olqcBzSQFPXJJkQHzoGzB_xh
Turbo Granny           Docteur_Kuku    XZBidSPSAyfbNEG2sl5mLkW7Ldd
Turn                   Lunatik_RP      2IkZ7Sq5FxUUNDWe__s4SzFWBb5
Ultrasonic             Skotinka        3qb8przRVqobNj0ITHsI2TgXYEl
UnLeashed              DaKKoN          6gSI0nLLPaFfLGmwE1PLrcasBem
UpTheBend              Raxor           epxLAzNhsADZFS8V3ya7rvPtfF7
Voorwaarts             Zooz            nM2kAd4LMoAd1N4LJknkU4B69I0
WALK OF STADIUM online ARO             ZAzZMmWb1MZEhtQEH3_A7w7svB4
WALLING                Crazy__Driver   mTpVb9yg_iHDJxcS5oVffeP1Clb
Without Gravitation    Marcel          sFWRB0BOkuoDa6MvRgumEHdgv_9
X-TinGuish             h4stings        ZGWlSzG7SlBIokI2W2yEG9aVCZl
You are the boss       Mistral         0D787vAItW7fPPrXSAgBm62JmP3
back2thefuture         tga03           uNRj2VyA46bJpWvTcuu2MyE7_xf
earthquake             silvestro1      fqJqSNLTlL2KQ0dUQe9H6BH56Tk
Skillz v2.0 Onlin...   bkb98           SPNS8hBqAdLsdLzVkAe4xdHbsYl
highscore              pitstep         _zdfoEKfDWLTNuLd0lFOTDeUena
let's Dance            pitstep         j3W7gJUqxDlF989F90MTWRgBwq4
tinyTECH3              Ron_Turbo       NjFTeXKYRFrjzyG9msE65o1E0m
°°°YAYA°°° 3           Nicyan          E0jOkhmUg1RP3U3ko9x6SxR4A8m
Âíèç è Ââåðõ           Skotinka        kG8UlhSdfZD4WDivg7roOxDquwg
Øíÿãà                  Skotinka        8vJL2EJLnSQ30vLUBkrZJLxYyI5
